"filename", "language", "JavaScript", "JSON", "Log", "comment", "blank", "total"
"c:\Users\Josh\repos\doughleap\server\db.js", "JavaScript", -29, 0, 0, -1, -7, -37
"c:\Users\Josh\repos\doughleap\server\middleware\errorHandling.js", "JavaScript", -83, 0, 0, -9, -13, -105
"c:\Users\Josh\repos\doughleap\server\middleware\multer.js", "JavaScript", 0, 0, 0, 0, -1, -1
"c:\Users\Josh\repos\doughleap\server\middleware\queryParsing.js", "JavaScript", -13, 0, 0, -2, -4, -19
"c:\Users\Josh\repos\doughleap\server\middleware\validating.js", "JavaScript", -14, 0, 0, 0, -3, -17
"c:\Users\Josh\repos\doughleap\server\modules\clients\handler.js", "JavaScript", -76, 0, 0, 0, -7, -83
"c:\Users\Josh\repos\doughleap\server\modules\clients\processor.js", "JavaScript", -148, 0, 0, -9, -22, -179
"c:\Users\Josh\repos\doughleap\server\modules\clients\router.js", "JavaScript", -20, 0, 0, 0, -6, -26
"c:\Users\Josh\repos\doughleap\server\modules\employees\handler.js", "JavaScript", -90, 0, 0, 0, -7, -97
"c:\Users\Josh\repos\doughleap\server\modules\employees\processor.js", "JavaScript", -223, 0, 0, -18, -36, -277
"c:\Users\Josh\repos\doughleap\server\modules\employees\router.js", "JavaScript", -20, 0, 0, 0, -6, -26
"c:\Users\Josh\repos\doughleap\server\modules\ingredientStocks\handler.js", "JavaScript", -53, 0, 0, 0, -6, -59
"c:\Users\Josh\repos\doughleap\server\modules\ingredientStocks\processor.js", "JavaScript", -149, 0, 0, -12, -24, -185
"c:\Users\Josh\repos\doughleap\server\modules\ingredientStocks\router.js", "JavaScript", -25, 0, 0, 0, -6, -31
"c:\Users\Josh\repos\doughleap\server\modules\ingredients\handler.js", "JavaScript", -56, 0, 0, 0, -6, -62
"c:\Users\Josh\repos\doughleap\server\modules\ingredients\processor.js", "JavaScript", -129, 0, 0, -11, -22, -162
"c:\Users\Josh\repos\doughleap\server\modules\ingredients\router.js", "JavaScript", -22, 0, 0, 0, -7, -29
"c:\Users\Josh\repos\doughleap\server\modules\invoices\handler.js", "JavaScript", -45, 0, 0, 0, -5, -50
"c:\Users\Josh\repos\doughleap\server\modules\invoices\logs\handler.js", "JavaScript", -32, 0, 0, 0, -4, -36
"c:\Users\Josh\repos\doughleap\server\modules\invoices\logs\processor.js", "JavaScript", -42, 0, 0, -1, -9, -52
"c:\Users\Josh\repos\doughleap\server\modules\invoices\logs\router.js", "JavaScript", -10, 0, 0, 0, -5, -15
"c:\Users\Josh\repos\doughleap\server\modules\invoices\notes\handler.js", "JavaScript", -29, 0, 0, 0, -4, -33
"c:\Users\Josh\repos\doughleap\server\modules\invoices\notes\processor.js", "JavaScript", -41, 0, 0, -2, -11, -54
"c:\Users\Josh\repos\doughleap\server\modules\invoices\notes\router.js", "JavaScript", -10, 0, 0, 0, -5, -15
"c:\Users\Josh\repos\doughleap\server\modules\invoices\processor.js", "JavaScript", -101, 0, 0, -3, -18, -122
"c:\Users\Josh\repos\doughleap\server\modules\invoices\router.js", "JavaScript", -15, 0, 0, 0, -6, -21
"c:\Users\Josh\repos\doughleap\server\modules\orders\handler.js", "JavaScript", -70, 0, 0, 0, -7, -77
"c:\Users\Josh\repos\doughleap\server\modules\orders\processor.js", "JavaScript", -152, 0, 0, -16, -37, -205
"c:\Users\Josh\repos\doughleap\server\modules\orders\router.js", "JavaScript", -22, 0, 0, -2, -7, -31
"c:\Users\Josh\repos\doughleap\server\modules\payments\handler.js", "JavaScript", -32, 0, 0, 0, -4, -36
"c:\Users\Josh\repos\doughleap\server\modules\payments\processor.js", "JavaScript", -86, 0, 0, -5, -22, -113
"c:\Users\Josh\repos\doughleap\server\modules\payments\router.js", "JavaScript", -10, 0, 0, 0, -6, -16
"c:\Users\Josh\repos\doughleap\server\modules\persons\handler.js", "JavaScript", -78, 0, 0, 0, -7, -85
"c:\Users\Josh\repos\doughleap\server\modules\persons\processor.js", "JavaScript", -130, 0, 0, -9, -26, -165
"c:\Users\Josh\repos\doughleap\server\modules\persons\router.js", "JavaScript", -20, 0, 0, 0, -6, -26
"c:\Users\Josh\repos\doughleap\server\modules\products\stock\handler.js", "JavaScript", -52, 0, 0, 0, -7, -59
"c:\Users\Josh\repos\doughleap\server\modules\products\stock\processor.js", "JavaScript", -114, 0, 0, -6, -26, -146
"c:\Users\Josh\repos\doughleap\server\modules\products\stock\router.js", "JavaScript", -25, 0, 0, 0, -5, -30
"c:\Users\Josh\repos\doughleap\server\modules\products\task\handler.js", "JavaScript", -56, 0, 0, 0, -7, -63
"c:\Users\Josh\repos\doughleap\server\modules\products\task\processor.js", "JavaScript", -133, 0, 0, -9, -24, -166
"c:\Users\Josh\repos\doughleap\server\modules\products\task\router.js", "JavaScript", -20, 0, 0, 0, -5, -25
"c:\Users\Josh\repos\doughleap\server\modules\recipes\categories\handler.js", "JavaScript", -43, 0, 0, 0, -6, -49
"c:\Users\Josh\repos\doughleap\server\modules\recipes\categories\processor.js", "JavaScript", -79, 0, 0, -6, -21, -106
"c:\Users\Josh\repos\doughleap\server\modules\recipes\categories\router.js", "JavaScript", -24, 0, 0, 0, -5, -29
"c:\Users\Josh\repos\doughleap\server\modules\recipes\components\handler.js", "JavaScript", -53, 0, 0, 0, -7, -60
"c:\Users\Josh\repos\doughleap\server\modules\recipes\components\processor.js", "JavaScript", -108, 0, 0, -6, -23, -137
"c:\Users\Josh\repos\doughleap\server\modules\recipes\components\router.js", "JavaScript", -25, 0, 0, 0, -5, -30
"c:\Users\Josh\repos\doughleap\server\modules\recipes\handler.js", "JavaScript", -57, 0, 0, 0, -7, -64
"c:\Users\Josh\repos\doughleap\server\modules\recipes\processor.js", "JavaScript", -137, 0, 0, -7, -22, -166
"c:\Users\Josh\repos\doughleap\server\modules\recipes\router.js", "JavaScript", -24, 0, 0, 0, -6, -30
"c:\Users\Josh\repos\doughleap\server\modules\steps\handler.js", "JavaScript", -50, 0, 0, 0, -6, -56
"c:\Users\Josh\repos\doughleap\server\modules\steps\processor.js", "JavaScript", -111, 0, 0, -4, -18, -133
"c:\Users\Josh\repos\doughleap\server\modules\steps\recipe\handler.js", "JavaScript", -50, 0, 0, 0, -6, -56
