"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Josh\repos\doughleap\server\modules\clients\handler.js", "JavaScript", 76, 0, 7, 83
"c:\Users\Josh\repos\doughleap\server\modules\clients\processor.js", "JavaScript", 148, 9, 22, 179
"c:\Users\Josh\repos\doughleap\server\modules\clients\router.js", "JavaScript", 20, 0, 6, 26
"c:\Users\Josh\repos\doughleap\server\modules\employees\handler.js", "JavaScript", 90, 0, 7, 97
"c:\Users\Josh\repos\doughleap\server\modules\employees\processor.js", "JavaScript", 223, 18, 36, 277
"c:\Users\Josh\repos\doughleap\server\modules\employees\router.js", "JavaScript", 20, 0, 6, 26
"c:\Users\Josh\repos\doughleap\server\modules\ingredientStocks\handler.js", "JavaScript", 53, 0, 6, 59
"c:\Users\Josh\repos\doughleap\server\modules\ingredientStocks\processor.js", "JavaScript", 149, 12, 24, 185
"c:\Users\Josh\repos\doughleap\server\modules\ingredientStocks\router.js", "JavaScript", 25, 0, 6, 31
"c:\Users\Josh\repos\doughleap\server\modules\ingredients\handler.js", "JavaScript", 56, 0, 6, 62
"c:\Users\Josh\repos\doughleap\server\modules\ingredients\processor.js", "JavaScript", 129, 11, 22, 162
"c:\Users\Josh\repos\doughleap\server\modules\ingredients\router.js", "JavaScript", 22, 0, 7, 29
"c:\Users\Josh\repos\doughleap\server\modules\invoices\handler.js", "JavaScript", 45, 0, 5, 50
"c:\Users\Josh\repos\doughleap\server\modules\invoices\logs\handler.js", "JavaScript", 32, 0, 4, 36
"c:\Users\Josh\repos\doughleap\server\modules\invoices\logs\processor.js", "JavaScript", 42, 1, 9, 52
"c:\Users\Josh\repos\doughleap\server\modules\invoices\logs\router.js", "JavaScript", 10, 0, 5, 15
"c:\Users\Josh\repos\doughleap\server\modules\invoices\notes\handler.js", "JavaScript", 29, 0, 4, 33
"c:\Users\Josh\repos\doughleap\server\modules\invoices\notes\processor.js", "JavaScript", 41, 2, 11, 54
"c:\Users\Josh\repos\doughleap\server\modules\invoices\notes\router.js", "JavaScript", 10, 0, 5, 15
"c:\Users\Josh\repos\doughleap\server\modules\invoices\processor.js", "JavaScript", 101, 3, 18, 122
"c:\Users\Josh\repos\doughleap\server\modules\invoices\router.js", "JavaScript", 15, 0, 6, 21
"c:\Users\Josh\repos\doughleap\server\modules\orders\handler.js", "JavaScript", 70, 0, 7, 77
"c:\Users\Josh\repos\doughleap\server\modules\orders\processor.js", "JavaScript", 152, 16, 37, 205
