Date : 2023-09-15 23:56:58
Directory : c:\Users\Josh\repos\doughleap\server
Total : 312 files,  8639 codes, -60 comments, -85 blanks, all 8494 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Log        |          2 |     14,341 |          0 |          2 |     14,343 |
| JavaScript |        107 |      7,276 |        343 |      1,187 |      8,806 |
| JSON       |          3 |      2,851 |          0 |          3 |      2,854 |
| SCSS       |          1 |         -8 |          0 |         -1 |         -9 |
| Draw.io    |          1 |        -59 |          0 |          0 |        -59 |
| HTML       |         55 |     -4,596 |       -187 |       -139 |     -4,922 |
| TypeScript |        143 |    -11,166 |       -216 |     -1,137 |    -12,519 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                   |        312 |      8,639 |        -60 |        -85 |      8,494 |
| . (Files)                                                                                                                                                                           |          6 |     17,213 |          4 |         22 |     17,239 |
| ..                                                                                                                                                                                  |        200 |    -15,829 |       -403 |     -1,277 |    -17,509 |
| ..\frontend                                                                                                                                                                         |        200 |    -15,829 |       -403 |     -1,277 |    -17,509 |
| ..\frontend\src                                                                                                                                                                     |        200 |    -15,829 |       -403 |     -1,277 |    -17,509 |
| ..\frontend\src\app                                                                                                                                                                 |        200 |    -15,829 |       -403 |     -1,277 |    -17,509 |
| ..\frontend\src\app (Files)                                                                                                                                                         |          4 |       -129 |         -2 |        -14 |       -145 |
| ..\frontend\src\app\account                                                                                                                                                         |          9 |       -309 |       -108 |        -43 |       -460 |
| ..\frontend\src\app\account\feature                                                                                                                                                 |          9 |       -309 |       -108 |        -43 |       -460 |
| ..\frontend\src\app\account\feature\login                                                                                                                                           |          3 |       -152 |        -54 |        -20 |       -226 |
| ..\frontend\src\app\account\feature\password                                                                                                                                        |          2 |        -11 |          0 |         -4 |        -15 |
| ..\frontend\src\app\account\feature\signup                                                                                                                                          |          2 |       -135 |        -54 |        -15 |       -204 |
| ..\frontend\src\app\account\feature\verify                                                                                                                                          |          2 |        -11 |          0 |         -4 |        -15 |
| ..\frontend\src\app\employees                                                                                                                                                       |          8 |       -174 |         -2 |        -27 |       -203 |
