"filename", "language", "JSON", "JavaScript", "Log", "comment", "blank", "total"
"c:\Users\Josh\repos\doughleap\server\db.js", "JavaScript", 0, 20, 0, 1, 6, 27
"c:\Users\Josh\repos\doughleap\server\logger.log", "Log", 0, 0, 6997, 0, 1, 6998
"c:\Users\Josh\repos\doughleap\server\middleware\auth.js", "JavaScript", 0, 17, 0, 2, 5, 24
"c:\Users\Josh\repos\doughleap\server\middleware\errorHandling.js", "JavaScript", 0, 83, 0, 9, 13, 105
"c:\Users\Josh\repos\doughleap\server\middleware\multer.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\Josh\repos\doughleap\server\middleware\queryParsing.js", "JavaScript", 0, 13, 0, 2, 4, 19
"c:\Users\Josh\repos\doughleap\server\middleware\validating.js", "JavaScript", 0, 18, 0, 0, 3, 21
"c:\Users\Josh\repos\doughleap\server\modules\clients\handler.js", "JavaScript", 0, 85, 0, 0, 7, 92
"c:\Users\Josh\repos\doughleap\server\modules\clients\processor.js", "JavaScript", 0, 167, 0, 9, 22, 198
"c:\Users\Josh\repos\doughleap\server\modules\clients\router.js", "JavaScript", 0, 14, 0, 0, 6, 20
"c:\Users\Josh\repos\doughleap\server\modules\employees\handler.js", "JavaScript", 0, 99, 0, 0, 7, 106
"c:\Users\Josh\repos\doughleap\server\modules\employees\processor.js", "JavaScript", 0, 245, 0, 18, 36, 299
"c:\Users\Josh\repos\doughleap\server\modules\employees\router.js", "JavaScript", 0, 15, 0, 0, 7, 22
"c:\Users\Josh\repos\doughleap\server\modules\ingredientStocks\handler.js", "JavaScript", 0, 55, 0, 0, 6, 61
"c:\Users\Josh\repos\doughleap\server\modules\ingredientStocks\processor.js", "JavaScript", 0, 154, 0, 12, 23, 189
"c:\Users\Josh\repos\doughleap\server\modules\ingredientStocks\router.js", "JavaScript", 0, 15, 0, 0, 7, 22
"c:\Users\Josh\repos\doughleap\server\modules\ingredients\handler.js", "JavaScript", 0, 59, 0, 0, 6, 65
"c:\Users\Josh\repos\doughleap\server\modules\ingredients\processor.js", "JavaScript", 0, 187, 0, 15, 27, 229
"c:\Users\Josh\repos\doughleap\server\modules\ingredients\recipe\handler.js", "JavaScript", 0, 56, 0, 0, 6, 62
"c:\Users\Josh\repos\doughleap\server\modules\ingredients\recipe\processor.js", "JavaScript", 0, 164, 0, 14, 30, 208
"c:\Users\Josh\repos\doughleap\server\modules\ingredients\recipe\router.js", "JavaScript", 0, 15, 0, 0, 7, 22
"c:\Users\Josh\repos\doughleap\server\modules\ingredients\router.js", "JavaScript", 0, 17, 0, 0, 7, 24
"c:\Users\Josh\repos\doughleap\server\modules\invoices\handler.js", "JavaScript", 0, 48, 0, 0, 5, 53
"c:\Users\Josh\repos\doughleap\server\modules\invoices\logs\handler.js", "JavaScript", 0, 34, 0, 0, 4, 38
"c:\Users\Josh\repos\doughleap\server\modules\invoices\logs\processor.js", "JavaScript", 0, 42, 0, 1, 9, 52
"c:\Users\Josh\repos\doughleap\server\modules\invoices\logs\router.js", "JavaScript", 0, 12, 0, 0, 6, 18
"c:\Users\Josh\repos\doughleap\server\modules\invoices\notes\handler.js", "JavaScript", 0, 31, 0, 0, 4, 35
"c:\Users\Josh\repos\doughleap\server\modules\invoices\notes\processor.js", "JavaScript", 0, 41, 0, 2, 11, 54
"c:\Users\Josh\repos\doughleap\server\modules\invoices\notes\router.js", "JavaScript", 0, 12, 0, 0, 6, 18
"c:\Users\Josh\repos\doughleap\server\modules\invoices\processor.js", "JavaScript", 0, 102, 0, 3, 18, 123
"c:\Users\Josh\repos\doughleap\server\modules\invoices\router.js", "JavaScript", 0, 17, 0, 0, 7, 24
"c:\Users\Josh\repos\doughleap\server\modules\orders\handler.js", "JavaScript", 0, 76, 0, 0, 7, 83
"c:\Users\Josh\repos\doughleap\server\modules\orders\items\router.js", "JavaScript", 0, 7, 0, 0, 5, 12
"c:\Users\Josh\repos\doughleap\server\modules\orders\items\stock\handler.js", "JavaScript", 0, 58, 0, 0, 7, 65
"c:\Users\Josh\repos\doughleap\server\modules\orders\items\stock\processor.js", "JavaScript", 0, 152, 0, 13, 28, 193
"c:\Users\Josh\repos\doughleap\server\modules\orders\items\stock\router.js", "JavaScript", 0, 15, 0, 0, 6, 21
"c:\Users\Josh\repos\doughleap\server\modules\orders\items\task\handler.js", "JavaScript", 0, 59, 0, 0, 7, 66
"c:\Users\Josh\repos\doughleap\server\modules\orders\items\task\processor.js", "JavaScript", 0, 130, 0, 9, 24, 163
"c:\Users\Josh\repos\doughleap\server\modules\orders\items\task\router.js", "JavaScript", 0, 15, 0, 0, 6, 21
"c:\Users\Josh\repos\doughleap\server\modules\orders\processor.js", "JavaScript", 0, 172, 0, 14, 31, 217
"c:\Users\Josh\repos\doughleap\server\modules\orders\router.js", "JavaScript", 0, 17, 0, 0, 8, 25
"c:\Users\Josh\repos\doughleap\server\modules\payments\handler.js", "JavaScript", 0, 34, 0, 0, 4, 38
"c:\Users\Josh\repos\doughleap\server\modules\payments\processor.js", "JavaScript", 0, 87, 0, 5, 22, 114
"c:\Users\Josh\repos\doughleap\server\modules\payments\router.js", "JavaScript", 0, 12, 0, 0, 6, 18
"c:\Users\Josh\repos\doughleap\server\modules\persons\handler.js", "JavaScript", 0, 83, 0, 0, 7, 90
"c:\Users\Josh\repos\doughleap\server\modules\persons\processor.js", "JavaScript", 0, 149, 0, 10, 25, 184
"c:\Users\Josh\repos\doughleap\server\modules\persons\router.js", "JavaScript", 0, 15, 0, 0, 7, 22
"c:\Users\Josh\repos\doughleap\server\modules\productStocks\handler.js", "JavaScript", 0, 59, 0, 0, 7, 66
"c:\Users\Josh\repos\doughleap\server\modules\productStocks\processor.js", "JavaScript", 0, 141, 0, 8, 26, 175
"c:\Users\Josh\repos\doughleap\server\modules\productStocks\router.js", "JavaScript", 0, 15, 0, 0, 6, 21
"c:\Users\Josh\repos\doughleap\server\modules\recipes\categories\handler.js", "JavaScript", 0, 50, 0, 0, 6, 56
"c:\Users\Josh\repos\doughleap\server\modules\recipes\categories\processor.js", "JavaScript", 0, 137, 0, 11, 25, 173
"c:\Users\Josh\repos\doughleap\server\modules\recipes\categories\router.js", "JavaScript", 0, 26, 0, 0, 6, 32
"c:\Users\Josh\repos\doughleap\server\modules\recipes\components\handler.js", "JavaScript", 0, 56, 0, 0, 7, 63
"c:\Users\Josh\repos\doughleap\server\modules\recipes\components\processor.js", "JavaScript", 0, 108, 0, 6, 23, 137
"c:\Users\Josh\repos\doughleap\server\modules\recipes\components\router.js", "JavaScript", 0, 15, 0, 0, 6, 21
"c:\Users\Josh\repos\doughleap\server\modules\recipes\handler.js", "JavaScript", 0, 67, 0, 0, 7, 74
"c:\Users\Josh\repos\doughleap\server\modules\recipes\processor.js", "JavaScript", 0, 180, 0, 11, 24, 215
"c:\Users\Josh\repos\doughleap\server\modules\recipes\router.js", "JavaScript", 0, 19, 0, 0, 7, 26
"c:\Users\Josh\repos\doughleap\server\modules\steps\handler.js", "JavaScript", 0, 52, 0, 0, 6, 58
"c:\Users\Josh\repos\doughleap\server\modules\steps\processor.js", "JavaScript", 0, 123, 0, 15, 19, 157
"c:\Users\Josh\repos\doughleap\server\modules\steps\recipe\handler.js", "JavaScript", 0, 55, 0, 0, 6, 61
"c:\Users\Josh\repos\doughleap\server\modules\steps\recipe\processor.js", "JavaScript", 0, 237, 0, 52, 36, 325
"c:\Users\Josh\repos\doughleap\server\modules\steps\recipe\router.js", "JavaScript", 0, 15, 0, 0, 7, 22
"c:\Users\Josh\repos\doughleap\server\modules\steps\router.js", "JavaScript", 0, 17, 0, 0, 8, 25
"c:\Users\Josh\repos\doughleap\server\modules\stockProducts\handler.js", "JavaScript", 0, 57, 0, 0, 7, 64
"c:\Users\Josh\repos\doughleap\server\modules\stockProducts\processor.js", "JavaScript", 0, 119, 0, 7, 27, 153
"c:\Users\Josh\repos\doughleap\server\modules\stockProducts\router.js", "JavaScript", 0, 15, 0, 0, 6, 21
"c:\Users\Josh\repos\doughleap\server\modules\tags\handler.js", "JavaScript", 0, 54, 0, 0, 7, 61
"c:\Users\Josh\repos\doughleap\server\modules\tags\order\handler.js", "JavaScript", 0, 42, 0, 0, 6, 48
"c:\Users\Josh\repos\doughleap\server\modules\tags\order\processor.js", "JavaScript", 0, 92, 0, 3, 16, 111
"c:\Users\Josh\repos\doughleap\server\modules\tags\order\router.js", "JavaScript", 0, 14, 0, 0, 6, 20
"c:\Users\Josh\repos\doughleap\server\modules\tags\processor.js", "JavaScript", 0, 103, 0, 3, 21, 127
"c:\Users\Josh\repos\doughleap\server\modules\tags\recipe\handler.js", "JavaScript", 0, 42, 0, 0, 6, 48
"c:\Users\Josh\repos\doughleap\server\modules\tags\recipe\processor.js", "JavaScript", 0, 92, 0, 3, 15, 110
"c:\Users\Josh\repos\doughleap\server\modules\tags\recipe\router.js", "JavaScript", 0, 14, 0, 0, 6, 20
"c:\Users\Josh\repos\doughleap\server\modules\tags\router.js", "JavaScript", 0, 19, 0, 0, 7, 26
"c:\Users\Josh\repos\doughleap\server\modules\toolStocks\handler.js", "JavaScript", 0, 58, 0, 0, 7, 65
"c:\Users\Josh\repos\doughleap\server\modules\toolStocks\processor.js", "JavaScript", 0, 152, 0, 8, 26, 186
"c:\Users\Josh\repos\doughleap\server\modules\toolStocks\router.js", "JavaScript", 0, 15, 0, 0, 6, 21
"c:\Users\Josh\repos\doughleap\server\modules\tools\handler.js", "JavaScript", 0, 56, 0, 0, 7, 63
"c:\Users\Josh\repos\doughleap\server\modules\tools\processor.js", "JavaScript", 0, 124, 0, 7, 20, 151
