Date : 2023-12-03 13:55:25
Directory : c:\Users\Josh\repos\doughleap\frontend\src\app
Total : 374 files,  -1147 codes, 305 comments, 614 blanks, all -228 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        182 |     15,845 |        310 |      1,559 |     17,714 |
| HTML       |         78 |      7,409 |        338 |        246 |      7,993 |
| Draw.io    |          1 |         59 |          0 |          0 |         59 |
| SCSS       |          1 |          8 |          0 |          1 |          9 |
| JSON       |          3 |     -2,851 |          0 |         -3 |     -2,854 |
| JavaScript |        107 |     -7,276 |       -343 |     -1,187 |     -8,806 |
| Log        |          2 |    -14,341 |          0 |         -2 |    -14,343 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                   |        374 |     -1,147 |        305 |        614 |       -228 |
| . (Files)                                                                                                                                                                           |          4 |        131 |          0 |         11 |        142 |
| ..                                                                                                                                                                                  |        112 |    -24,468 |       -343 |     -1,192 |    -26,003 |
| ..\..                                                                                                                                                                               |        112 |    -24,468 |       -343 |     -1,192 |    -26,003 |
| ..\..\..                                                                                                                                                                            |        112 |    -24,468 |       -343 |     -1,192 |    -26,003 |
| ..\..\..\server                                                                                                                                                                     |        112 |    -24,468 |       -343 |     -1,192 |    -26,003 |
| ..\..\..\server (Files)                                                                                                                                                             |          6 |    -17,213 |         -4 |        -22 |    -17,239 |
| ..\..\..\server\middleware                                                                                                                                                          |          5 |       -131 |        -13 |        -26 |       -170 |
| ..\..\..\server\modules                                                                                                                                                             |         82 |     -5,601 |       -281 |       -975 |     -6,857 |
| ..\..\..\server\modules\clients                                                                                                                                                     |          3 |       -266 |         -9 |        -35 |       -310 |
| ..\..\..\server\modules\employees                                                                                                                                                   |          3 |       -359 |        -18 |        -50 |       -427 |
| ..\..\..\server\modules\ingredientStocks                                                                                                                                            |          3 |       -224 |        -12 |        -36 |       -272 |
| ..\..\..\server\modules\ingredients                                                                                                                                                 |          6 |       -498 |        -29 |        -83 |       -610 |
| ..\..\..\server\modules\ingredients (Files)                                                                                                                                         |          3 |       -263 |        -15 |        -40 |       -318 |
| ..\..\..\server\modules\ingredients\recipe                                                                                                                                          |          3 |       -235 |        -14 |        -43 |       -292 |
| ..\..\..\server\modules\invoices                                                                                                                                                    |          9 |       -339 |         -6 |        -70 |       -415 |
| ..\..\..\server\modules\invoices (Files)                                                                                                                                            |          3 |       -167 |         -3 |        -30 |       -200 |
| ..\..\..\server\modules\invoices\logs                                                                                                                                               |          3 |        -88 |         -1 |        -19 |       -108 |
| ..\..\..\server\modules\invoices\notes                                                                                                                                              |          3 |        -84 |         -2 |        -21 |       -107 |
| ..\..\..\server\modules\orders                                                                                                                                                      |         10 |       -701 |        -36 |       -129 |       -866 |
| ..\..\..\server\modules\orders (Files)                                                                                                                                              |          3 |       -265 |        -14 |        -46 |       -325 |
| ..\..\..\server\modules\orders\items                                                                                                                                                |          7 |       -436 |        -22 |        -83 |       -541 |
| ..\..\..\server\modules\orders\items (Files)                                                                                                                                        |          1 |         -7 |          0 |         -5 |        -12 |
| ..\..\..\server\modules\orders\items\stock                                                                                                                                          |          3 |       -225 |        -13 |        -41 |       -279 |
| ..\..\..\server\modules\orders\items\task                                                                                                                                           |          3 |       -204 |         -9 |        -37 |       -250 |
| ..\..\..\server\modules\payments                                                                                                                                                    |          3 |       -133 |         -5 |        -32 |       -170 |
| ..\..\..\server\modules\persons                                                                                                                                                     |          3 |       -247 |        -10 |        -39 |       -296 |
| ..\..\..\server\modules\productStocks                                                                                                                                               |          3 |       -215 |         -8 |        -39 |       -262 |
| ..\..\..\server\modules\recipes                                                                                                                                                     |          9 |       -658 |        -28 |       -111 |       -797 |
| ..\..\..\server\modules\recipes (Files)                                                                                                                                             |          3 |       -266 |        -11 |        -38 |       -315 |
| ..\..\..\server\modules\recipes\categories                                                                                                                                          |          3 |       -213 |        -11 |        -37 |       -261 |
| ..\..\..\server\modules\recipes\components                                                                                                                                          |          3 |       -179 |         -6 |        -36 |       -221 |
| ..\..\..\server\modules\steps                                                                                                                                                       |          6 |       -499 |        -67 |        -82 |       -648 |
| ..\..\..\server\modules\steps (Files)                                                                                                                                               |          3 |       -192 |        -15 |        -33 |       -240 |
| ..\..\..\server\modules\steps\recipe                                                                                                                                                |          3 |       -307 |        -52 |        -49 |       -408 |
| ..\..\..\server\modules\stockProducts                                                                                                                                               |          3 |       -191 |         -7 |        -40 |       -238 |
| ..\..\..\server\modules\tags                                                                                                                                                        |          9 |       -472 |         -9 |        -90 |       -571 |
| ..\..\..\server\modules\tags (Files)                                                                                                                                                |          3 |       -176 |         -3 |        -35 |       -214 |
| ..\..\..\server\modules\tags\order                                                                                                                                                  |          3 |       -148 |         -3 |        -28 |       -179 |
| ..\..\..\server\modules\tags\recipe                                                                                                                                                 |          3 |       -148 |         -3 |        -27 |       -178 |
| ..\..\..\server\modules\toolStocks                                                                                                                                                  |          3 |       -225 |         -8 |        -39 |       -272 |
| ..\..\..\server\modules\tools                                                                                                                                                       |          6 |       -464 |        -26 |        -77 |       -567 |
| ..\..\..\server\modules\tools (Files)                                                                                                                                               |          3 |       -197 |         -7 |        -34 |       -238 |
| ..\..\..\server\modules\tools\recipe                                                                                                                                                |          3 |       -267 |        -19 |        -43 |       -329 |
| ..\..\..\server\modules\uploads                                                                                                                                                     |          3 |       -110 |         -3 |        -23 |       -136 |
| ..\..\..\server\schemas                                                                                                                                                             |         17 |     -1,449 |        -18 |       -162 |     -1,629 |
| ..\..\..\server\services                                                                                                                                                            |          2 |        -74 |        -27 |         -7 |       -108 |
| account                                                                                                                                                                             |          9 |        372 |        114 |         48 |        534 |
| account\feature                                                                                                                                                                     |          9 |        372 |        114 |         48 |        534 |
| account\feature\login                                                                                                                                                               |          3 |        159 |         59 |         23 |        241 |
| account\feature\password                                                                                                                                                            |          2 |         11 |          0 |          4 |         15 |
| account\feature\signup                                                                                                                                                              |          2 |        191 |         55 |         17 |        263 |
| account\feature\verify                                                                                                                                                              |          2 |         11 |          0 |          4 |         15 |
| guards                                                                                                                                                                              |          1 |         30 |          3 |          3 |         36 |
| header                                                                                                                                                                              |          2 |        282 |          3 |         15 |        300 |
| header\feature                                                                                                                                                                      |          2 |        282 |          3 |         15 |        300 |
| home                                                                                                                                                                                |          2 |         50 |          1 |          5 |         56 |
| kitchen                                                                                                                                                                             |         63 |      5,575 |         73 |        480 |      6,128 |
| kitchen (Files)                                                                                                                                                                     |          2 |         55 |          3 |          8 |         66 |
| kitchen\feature                                                                                                                                                                     |         56 |      5,460 |         69 |        461 |      5,990 |
| kitchen\feature\Inventory                                                                                                                                                           |         24 |      2,088 |         15 |        172 |      2,275 |
| kitchen\feature\Inventory\feature                                                                                                                                                   |         24 |      2,088 |         15 |        172 |      2,275 |
| kitchen\feature\Inventory\feature\ingredient-inventory                                                                                                                              |         12 |      1,092 |          8 |         90 |      1,190 |
| kitchen\feature\Inventory\feature\ingredient-inventory\data                                                                                                                         |          1 |         88 |          2 |         10 |        100 |
| kitchen\feature\Inventory\feature\ingredient-inventory\state                                                                                                                        |          5 |        361 |          0 |         27 |        388 |
| kitchen\feature\Inventory\feature\ingredient-inventory\ui                                                                                                                           |          6 |        643 |          6 |         53 |        702 |
| kitchen\feature\Inventory\feature\ingredient-inventory\ui\add-ingredient-stock-modal                                                                                                |          2 |        269 |          3 |         21 |        293 |
| kitchen\feature\Inventory\feature\ingredient-inventory\ui\delete-ingredient-stock-modal                                                                                             |          2 |        106 |          1 |          9 |        116 |
| kitchen\feature\Inventory\feature\ingredient-inventory\ui\edit-ingredient-stock-modal                                                                                               |          2 |        268 |          2 |         23 |        293 |
| kitchen\feature\Inventory\feature\tool-inventory                                                                                                                                    |         12 |        996 |          7 |         82 |      1,085 |
| kitchen\feature\Inventory\feature\tool-inventory\data                                                                                                                               |          1 |         72 |          1 |         10 |         83 |
| kitchen\feature\Inventory\feature\tool-inventory\state                                                                                                                              |          5 |        382 |          0 |         27 |        409 |
| kitchen\feature\Inventory\feature\tool-inventory\ui                                                                                                                                 |          6 |        542 |          6 |         45 |        593 |
| kitchen\feature\Inventory\feature\tool-inventory\ui\add-tool-stock-modal                                                                                                            |          2 |        221 |          3 |         18 |        242 |
| kitchen\feature\Inventory\feature\tool-inventory\ui\delete-tool-stock-modal                                                                                                         |          2 |        106 |          1 |          8 |        115 |
| kitchen\feature\Inventory\feature\tool-inventory\ui\edit-tool-stock-modal                                                                                                           |          2 |        215 |          2 |         19 |        236 |
| kitchen\feature\ingredients                                                                                                                                                         |         16 |      1,777 |         28 |        150 |      1,955 |
| kitchen\feature\ingredients (Files)                                                                                                                                                 |          2 |        329 |         12 |         31 |        372 |
| kitchen\feature\ingredients\data                                                                                                                                                    |          1 |         99 |          1 |         15 |        115 |
