"filename", "language", "JavaScript", "TypeScript", "HTML", "Draw.io", "SCSS", "comment", "blank", "total"
"c:\Users\Josh\repos\doughleap\frontend\src\app\account\feature\login\login-page.component.html", "HTML", 0, 0, -85, 0, 0, -56, -10, -151
"c:\Users\Josh\repos\doughleap\frontend\src\app\account\feature\login\login-page.component.spec.ts", "TypeScript", 0, -17, 0, 0, 0, 0, -5, -22
"c:\Users\Josh\repos\doughleap\frontend\src\app\account\feature\login\login-page.component.ts", "TypeScript", 0, -57, 0, 0, 0, -3, -8, -68
"c:\Users\Josh\repos\doughleap\frontend\src\app\account\feature\password\password-reset-page.component.html", "HTML", 0, 0, -1, 0, 0, 0, -1, -2
"c:\Users\Josh\repos\doughleap\frontend\src\app\account\feature\password\password-reset-page.component.ts", "TypeScript", 0, -10, 0, 0, 0, 0, -3, -13
"c:\Users\Josh\repos\doughleap\frontend\src\app\account\feature\signup\signup-page.component.html", "HTML", 0, 0, -102, 0, 0, -55, -8, -165
"c:\Users\Josh\repos\doughleap\frontend\src\app\account\feature\signup\signup-page.component.ts", "TypeScript", 0, -89, 0, 0, 0, 0, -9, -98
"c:\Users\Josh\repos\doughleap\frontend\src\app\account\feature\verify\verify.component.html", "HTML", 0, 0, -1, 0, 0, 0, -1, -2
"c:\Users\Josh\repos\doughleap\frontend\src\app\account\feature\verify\verify.component.ts", "TypeScript", 0, -10, 0, 0, 0, 0, -3, -13
"c:\Users\Josh\repos\doughleap\frontend\src\app\app.component.html", "HTML", 0, 0, -4, 0, 0, 0, -1, -5
"c:\Users\Josh\repos\doughleap\frontend\src\app\app.component.spec.ts", "TypeScript", 0, -25, 0, 0, 0, 0, -5, -30
"c:\Users\Josh\repos\doughleap\frontend\src\app\app.component.ts", "TypeScript", 0, -22, 0, 0, 0, 0, -3, -25
"c:\Users\Josh\repos\doughleap\frontend\src\app\guards\profile.guard.ts", "TypeScript", 0, -30, 0, 0, 0, -3, -3, -36
"c:\Users\Josh\repos\doughleap\frontend\src\app\header\feature\app-header.component.html", "HTML", 0, 0, -187, 0, 0, -3, -3, -193
"c:\Users\Josh\repos\doughleap\frontend\src\app\header\feature\app-header.component.ts", "TypeScript", 0, -95, 0, 0, 0, 0, -12, -107
"c:\Users\Josh\repos\doughleap\frontend\src\app\home\home.component.html", "HTML", 0, 0, -19, 0, 0, 0, -1, -20
"c:\Users\Josh\repos\doughleap\frontend\src\app\home\home.component.ts", "TypeScript", 0, -31, 0, 0, 0, -1, -4, -36
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\data\ingredient-stock.service.ts", "TypeScript", 0, -88, 0, 0, 0, -2, -10, -100
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\state\ingredient-stock-actions.ts", "TypeScript", 0, -76, 0, 0, 0, 0, -5, -81
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\state\ingredient-stock-effects.ts", "TypeScript", 0, -118, 0, 0, 0, 0, -7, -125
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\state\ingredient-stock-reducers.ts", "TypeScript", 0, -115, 0, 0, 0, 0, -2, -117
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\state\ingredient-stock-selectors.ts", "TypeScript", 0, -23, 0, 0, 0, 0, -9, -32
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\state\ingredient-stock-state.ts", "TypeScript", 0, -29, 0, 0, 0, 0, -4, -33
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\ui\add-ingredient-stock-modal\add-ingredient-stock-modal.component.html", "HTML", 0, 0, -128, 0, 0, -2, -5, -135
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\ui\add-ingredient-stock-modal\add-ingredient-stock-modal.component.ts", "TypeScript", 0, -141, 0, 0, 0, -1, -16, -158
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\ui\delete-ingredient-stock-modal\delete-ingredient-stock-modal.component.html", "HTML", 0, 0, -53, 0, 0, 0, -1, -54
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\ui\delete-ingredient-stock-modal\delete-ingredient-stock-modal.component.ts", "TypeScript", 0, -53, 0, 0, 0, -1, -8, -62
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\ui\edit-ingredient-stock-modal\edit-ingredient-stock-modal.component.html", "HTML", 0, 0, -114, 0, 0, -2, -4, -120
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\ui\edit-ingredient-stock-modal\edit-ingredient-stock-modal.component.ts", "TypeScript", 0, -154, 0, 0, 0, 0, -19, -173
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\tool-inventory\data\tool-stock.service.ts", "TypeScript", 0, -72, 0, 0, 0, -1, -10, -83
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\tool-inventory\state\tool-stock-actions.ts", "TypeScript", 0, -76, 0, 0, 0, 0, -5, -81
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\tool-inventory\state\tool-stock-effects.ts", "TypeScript", 0, -126, 0, 0, 0, 0, -7, -133
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\tool-inventory\state\tool-stock-reducers.ts", "TypeScript", 0, -125, 0, 0, 0, 0, -3, -128
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\tool-inventory\state\tool-stock-selectors.ts", "TypeScript", 0, -28, 0, 0, 0, 0, -9, -37
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\tool-inventory\state\tool-stock-state.ts", "TypeScript", 0, -27, 0, 0, 0, 0, -3, -30
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\tool-inventory\ui\add-tool-stock-modal\add-tool-stock-modal.component.html", "HTML", 0, 0, -99, 0, 0, -2, -4, -105
