"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\Josh\repos\doughleap\server\schemas\client-types.js", "JavaScript", -73, 0, 0, -7, -80
"c:\Users\Josh\repos\doughleap\server\schemas\employee-types.js", "JavaScript", -84, 0, 0, -7, -91
"c:\Users\Josh\repos\doughleap\server\schemas\followship-types.js", "JavaScript", -36, 0, 0, -5, -41
"c:\Users\Josh\repos\doughleap\server\schemas\friendship-types.js", "JavaScript", -53, 0, 0, -7, -60
"c:\Users\Josh\repos\doughleap\server\schemas\ingredient-types.js", "JavaScript", -168, 0, -3, -20, -191
"c:\Users\Josh\repos\doughleap\server\schemas\invoice-types.js", "JavaScript", -122, 0, 0, -12, -134
"c:\Users\Josh\repos\doughleap\server\schemas\log-types.js", "JavaScript", -66, 0, 0, -7, -73
"c:\Users\Josh\repos\doughleap\server\schemas\new.json", "JSON", 0, -74, 0, -1, -75
"c:\Users\Josh\repos\doughleap\server\schemas\order-types.js", "JavaScript", -64, 0, 0, -7, -71
"c:\Users\Josh\repos\doughleap\server\schemas\payment-types.js", "JavaScript", -27, 0, 0, -3, -30
"c:\Users\Josh\repos\doughleap\server\schemas\person-types.js", "JavaScript", -73, 0, 0, -7, -80
"c:\Users\Josh\repos\doughleap\server\schemas\productStock-types.js", "JavaScript", -55, 0, 0, -7, -62
"c:\Users\Josh\repos\doughleap\server\schemas\profile-types.js", "JavaScript", -39, 0, 0, -6, -45
"c:\Users\Josh\repos\doughleap\server\schemas\recipe-types.js", "JavaScript", -171, 0, -1, -19, -191
"c:\Users\Josh\repos\doughleap\server\schemas\step-types.js", "JavaScript", -103, 0, -2, -13, -118
"c:\Users\Josh\repos\doughleap\server\schemas\stockItem-types.js", "JavaScript", -56, 0, 0, -7, -63
"c:\Users\Josh\repos\doughleap\server\schemas\stockProduct-types.js", "JavaScript", -53, 0, 0, -7, -60
"c:\Users\Josh\repos\doughleap\server\schemas\tag-types.js", "JavaScript", -117, 0, 0, -15, -132
"c:\Users\Josh\repos\doughleap\server\schemas\taskItem-types.js", "JavaScript", -56, 0, 0, -7, -63
"c:\Users\Josh\repos\doughleap\server\schemas\tool-types.js", "JavaScript", -154, 0, -3, -21, -178
"c:\Users\Josh\repos\doughleap\server\schemas\upload-types.js", "JavaScript", -11, 0, -10, -3, -24
"c:\Users\Josh\repos\doughleap\server\services\dbLogger.js", "JavaScript", 93, 0, 1, 6, 100
"c:\Users\Josh\repos\doughleap\server\services\lambda\resetSequencesForIDs\debug_bridge.js", "JavaScript", 9, 0, 0, 3, 12
"c:\Users\Josh\repos\doughleap\server\services\lambda\resetSequencesForIDs\index.js", "JavaScript", 14, 0, 0, 4, 18
"c:\Users\Josh\repos\doughleap\server\services\lambda\resetSequencesForIDs\package.json", "JSON", 0, 14, 0, 1, 15
"c:\Users\Josh\repos\doughleap\server\services\supply.js", "JavaScript", 200, 0, 42, 15, 257
"c:\Users\Josh\repos\doughleap\server\services\taxes.js", "JavaScript", 6, 0, 0, 2, 8
"Total", "-", -1259, -60, 24, -157, -1452
