Date : 2024-04-02 23:29:56
Directory : /home/josh/repos/doughleap/frontend/src/app
Total : 313 files,  32131 codes, 885 comments, 2223 blanks, all 35239 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        220 |     23,269 |        488 |      1,935 |     25,692 |
| HTML       |         92 |      8,803 |        397 |        288 |      9,488 |
| Draw.io    |          1 |         59 |          0 |          0 |         59 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                |        313 |     32,131 |        885 |      2,223 |     35,239 |
| . (Files)                                                                                                                                                                        |          4 |        343 |         29 |         19 |        391 |
| account                                                                                                                                                                          |          9 |        481 |         73 |         54 |        608 |
| account/feature                                                                                                                                                                  |          9 |        481 |         73 |         54 |        608 |
| account/feature/login                                                                                                                                                            |          3 |        268 |         18 |         29 |        315 |
| account/feature/password                                                                                                                                                         |          2 |         11 |          0 |          4 |         15 |
| account/feature/signup                                                                                                                                                           |          2 |        191 |         55 |         17 |        263 |
| account/feature/verify                                                                                                                                                           |          2 |         11 |          0 |          4 |         15 |
| footer                                                                                                                                                                           |          2 |        393 |          4 |         16 |        413 |
| footer/feature                                                                                                                                                                   |          2 |        393 |          4 |         16 |        413 |
| groceries                                                                                                                                                                        |         30 |      3,586 |         69 |        198 |      3,853 |
| groceries/data                                                                                                                                                                   |          3 |        168 |          0 |         26 |        194 |
| groceries/feature                                                                                                                                                                |          6 |      1,315 |         43 |         58 |      1,416 |
| groceries/feature/draft-page                                                                                                                                                     |          2 |        762 |         24 |         28 |        814 |
| groceries/feature/shopping-page                                                                                                                                                  |          4 |        553 |         19 |         30 |        602 |
| groceries/feature/shopping-page (Files)                                                                                                                                          |          2 |        431 |         17 |         20 |        468 |
| groceries/feature/shopping-page/ui                                                                                                                                               |          2 |        122 |          2 |         10 |        134 |
| groceries/feature/shopping-page/ui/purchase-ingredients-modal                                                                                                                    |          2 |        122 |          2 |         10 |        134 |
| groceries/groceries-page                                                                                                                                                         |          2 |         95 |          0 |          9 |        104 |
| groceries/state                                                                                                                                                                  |         15 |      1,283 |          9 |         74 |      1,366 |
| groceries/ui                                                                                                                                                                     |          4 |        725 |         17 |         31 |        773 |
| groceries/ui/add-shopping-list-ingredient-modal                                                                                                                                  |          2 |        274 |          7 |         13 |        294 |
| groceries/ui/add-shopping-list-recipe-modal                                                                                                                                      |          2 |        451 |         10 |         18 |        479 |
| guards                                                                                                                                                                           |          1 |         30 |          3 |          3 |         36 |
| home                                                                                                                                                                             |          2 |         44 |          7 |          5 |         56 |
| kitchen                                                                                                                                                                          |         63 |      6,091 |         88 |        456 |      6,635 |
| kitchen (Files)                                                                                                                                                                  |          2 |         92 |          2 |          7 |        101 |
| kitchen/feature                                                                                                                                                                  |         56 |      5,918 |         85 |        435 |      6,438 |
| kitchen/feature/Inventory                                                                                                                                                        |         24 |      2,297 |         24 |        169 |      2,490 |
| kitchen/feature/Inventory/feature                                                                                                                                                |         24 |      2,297 |         24 |        169 |      2,490 |
| kitchen/feature/Inventory/feature/ingredient-inventory                                                                                                                           |         12 |      1,247 |         17 |         90 |      1,354 |
| kitchen/feature/Inventory/feature/ingredient-inventory/data                                                                                                                      |          1 |        152 |          7 |         17 |        176 |
| kitchen/feature/Inventory/feature/ingredient-inventory/state                                                                                                                     |          5 |        445 |          1 |         28 |        474 |
| kitchen/feature/Inventory/feature/ingredient-inventory/ui                                                                                                                        |          6 |        650 |          9 |         45 |        704 |
| kitchen/feature/Inventory/feature/ingredient-inventory/ui/add-ingredient-stock-modal                                                                                             |          2 |        242 |          4 |         19 |        265 |
| kitchen/feature/Inventory/feature/ingredient-inventory/ui/delete-ingredient-stock-modal                                                                                          |          2 |        136 |          1 |          7 |        144 |
| kitchen/feature/Inventory/feature/ingredient-inventory/ui/edit-ingredient-stock-modal                                                                                            |          2 |        272 |          4 |         19 |        295 |
| kitchen/feature/Inventory/feature/tool-inventory                                                                                                                                 |         12 |      1,050 |          7 |         79 |      1,136 |
| kitchen/feature/Inventory/feature/tool-inventory/data                                                                                                                            |          1 |         72 |          1 |         10 |         83 |
| kitchen/feature/Inventory/feature/tool-inventory/state                                                                                                                           |          5 |        395 |          0 |         27 |        422 |
| kitchen/feature/Inventory/feature/tool-inventory/ui                                                                                                                              |          6 |        583 |          6 |         42 |        631 |
| kitchen/feature/Inventory/feature/tool-inventory/ui/add-tool-stock-modal                                                                                                         |          2 |        203 |          3 |         17 |        223 |
| kitchen/feature/Inventory/feature/tool-inventory/ui/delete-tool-stock-modal                                                                                                      |          2 |        133 |          1 |          7 |        141 |
| kitchen/feature/Inventory/feature/tool-inventory/ui/edit-tool-stock-modal                                                                                                        |          2 |        247 |          2 |         18 |        267 |
| kitchen/feature/ingredients                                                                                                                                                      |         16 |      2,102 |         37 |        149 |      2,288 |
| kitchen/feature/ingredients (Files)                                                                                                                                              |          2 |        378 |         11 |         27 |        416 |
| kitchen/feature/ingredients/data                                                                                                                                                 |          1 |        100 |          1 |         15 |        116 |
| kitchen/feature/ingredients/state                                                                                                                                                |          5 |        369 |          0 |         29 |        398 |
| kitchen/feature/ingredients/ui                                                                                                                                                   |          8 |      1,255 |         25 |         78 |      1,358 |
| kitchen/feature/ingredients/ui/add-ingredient-modal                                                                                                                              |          2 |        321 |          7 |         22 |        350 |
| kitchen/feature/ingredients/ui/delete-ingredient-modal                                                                                                                           |          2 |        136 |          1 |          7 |        144 |
| kitchen/feature/ingredients/ui/edit-ingredient-modal                                                                                                                             |          2 |        389 |          6 |         26 |        421 |
| kitchen/feature/ingredients/ui/ingredient-details-modal                                                                                                                          |          2 |        409 |         11 |         23 |        443 |
| kitchen/feature/tools                                                                                                                                                            |         16 |      1,519 |         24 |        117 |      1,660 |
| kitchen/feature/tools (Files)                                                                                                                                                    |          2 |        244 |          8 |         25 |        277 |
| kitchen/feature/tools/data                                                                                                                                                       |          1 |         81 |          0 |         13 |         94 |
| kitchen/feature/tools/state                                                                                                                                                      |          5 |        323 |          0 |         25 |        348 |
| kitchen/feature/tools/ui                                                                                                                                                         |          8 |        871 |         16 |         54 |        941 |
| kitchen/feature/tools/ui/add-tool-modal                                                                                                                                          |          2 |        159 |          2 |         13 |        174 |
| kitchen/feature/tools/ui/delete-tool-modal                                                                                                                                       |          2 |        141 |          1 |          7 |        149 |
| kitchen/feature/tools/ui/edit-tool-modal                                                                                                                                         |          2 |        190 |          2 |         13 |        205 |
| kitchen/feature/tools/ui/tool-details-modal                                                                                                                                      |          2 |        381 |         11 |         21 |        413 |
| kitchen/state                                                                                                                                                                    |          5 |         81 |          1 |         14 |         96 |
| profile                                                                                                                                                                          |         12 |      1,441 |         29 |        113 |      1,583 |
| profile (Files)                                                                                                                                                                  |          2 |        297 |         15 |         21 |        333 |
| profile/data                                                                                                                                                                     |          1 |         58 |          0 |         13 |         71 |
| profile/state                                                                                                                                                                    |          5 |        683 |          2 |         51 |        736 |
