"filename", "language", "JavaScript", "JSON", "JSON Lines", "comment", "blank", "total"
"/home/josh/repos/doughleap/server/services/aiHandlers.js", "JavaScript", 462, 0, 0, 25, 36, 523
"/home/josh/repos/doughleap/server/services/dbLogger.js", "JavaScript", 143, 0, 0, 1, 7, 151
"/home/josh/repos/doughleap/server/services/firebase/doughly-d93badfe1987.json", "JSON", 0, 13, 0, 0, 1, 14
"/home/josh/repos/doughleap/server/services/firebase/firebaseHandler.js", "JavaScript", 124, 0, 0, 0, 8, 132
"/home/josh/repos/doughleap/server/services/google/doughly-ee4c38c0be84.json", "JSON", 0, 13, 0, 0, 1, 14
"/home/josh/repos/doughleap/server/services/google/google-api.js", "JavaScript", 13, 0, 0, 1, 4, 18
"/home/josh/repos/doughleap/server/services/lambda/resetSequencesForIDs/debug_bridge.js", "JavaScript", 9, 0, 0, 0, 3, 12
"/home/josh/repos/doughleap/server/services/lambda/resetSequencesForIDs/index.js", "JavaScript", 22, 0, 0, 2, 7, 31
"/home/josh/repos/doughleap/server/services/lambda/resetSequencesForIDs/package.json", "JSON", 0, 14, 0, 0, 1, 15
"/home/josh/repos/doughleap/server/services/languageModel/ingredientMatching_dataset.jsonl", "JSON Lines", 0, 0, 326, 0, 1, 327
"/home/josh/repos/doughleap/server/services/languageModel/purchaseUnitLifespanDaysSelection_dataset.jsonl", "JSON Lines", 0, 0, 50, 0, 1, 51
"/home/josh/repos/doughleap/server/services/languageModel/substanceUnitConversion.jsonl", "JSON Lines", 0, 0, 100, 0, 0, 100
"/home/josh/repos/doughleap/server/services/scraper.js", "JavaScript", 38, 0, 0, 5, 7, 50
"/home/josh/repos/doughleap/server/services/supply.js", "JavaScript", 201, 0, 0, 42, 15, 258
"/home/josh/repos/doughleap/server/services/taxes.js", "JavaScript", 6, 0, 0, 0, 2, 8
"/home/josh/repos/doughleap/server/services/unitRatioStoreService.js", "JavaScript", 257, 0, 0, 22, 13, 292
"Total", "-", 1275, 40, 476, 98, 107, 1996
